DATE,OPEN,HIGH,LOW,CLOSE
05/15/2009,65.84,65.84,65.84,65.84
05/18/2009,62.6,62.6,62.6,62.6
05/19/2009,59.7,59.7,59.7,59.7
05/20/2009,61.35,61.35,61.35,61.35
05/21/2009,61.88,61.88,61.88,61.88
05/22/2009,68.66,68.66,68.66,68.66
05/26/2009,61.38,61.38,61.38,61.38
05/27/2009,65.16,65.16,65.16,65.16
05/28/2009,65.12,65.12,65.12,65.12
05/29/2009,57.64,57.64,57.64,57.64
06/01/2009,59.33,59.33,59.33,59.33
06/02/2009,57.21,57.21,57.21,57.21
06/03/2009,60.62,60.62,60.62,60.62
06/04/2009,61.01,61.01,61.01,61.01
06/05/2009,59.04,59.04,59.04,59.04
06/08/2009,57.78,57.78,57.78,57.78
06/09/2009,55.13,55.13,55.13,55.13
06/10/2009,55.8,55.8,55.8,55.8
06/11/2009,56.19,56.19,56.19,56.19
06/12/2009,54.66,54.66,54.66,54.66
06/15/2009,56.37,56.37,56.37,56.37
06/16/2009,60.73,60.73,60.73,60.73
06/17/2009,54.71,54.71,54.71,54.71
06/18/2009,52.67,52.67,52.67,52.67
06/19/2009,50.36,50.36,50.36,50.36
06/22/2009,58.94,58.94,58.94,58.94
06/23/2009,58.94,58.94,58.94,58.94
06/24/2009,56.9,56.9,56.9,56.9
06/25/2009,53.35,53.35,53.35,53.35
06/26/2009,54.72,54.72,54.72,54.72
06/29/2009,51.6,51.6,51.6,51.6
06/30/2009,51.61,51.61,51.61,51.61
07/01/2009,54.36,54.36,54.36,54.36
07/02/2009,54.72,54.72,54.72,54.72
07/06/2009,51.59,51.59,51.59,51.59
07/07/2009,55.4,55.4,55.4,55.4
07/08/2009,55.61,55.61,55.61,55.61
07/09/2009,52.35,52.35,52.35,52.35
07/10/2009,51.34,51.34,51.34,51.34
07/13/2009,47.6,47.6,47.6,47.6
07/14/2009,48.53,48.53,48.53,48.53
07/15/2009,50.77,50.77,50.77,50.77
07/16/2009,48.63,48.63,48.63,48.63
07/17/2009,54.48,54.48,54.48,54.48
07/20/2009,55.85,55.85,55.85,55.85
07/21/2009,55.09,55.09,55.09,55.09
07/22/2009,54.25,54.25,54.25,54.25
07/23/2009,55.29,55.29,55.29,55.29
07/24/2009,52.42,52.42,52.42,52.42
07/27/2009,54.47,54.47,54.47,54.47
07/28/2009,56.99,56.99,56.99,56.99
07/29/2009,58.59,58.59,58.59,58.59
07/30/2009,59.77,59.77,59.77,59.77
07/31/2009,63.88,63.88,63.88,63.88
08/03/2009,58.41,58.41,58.41,58.41
08/04/2009,55.23,55.23,55.23,55.23
08/05/2009,50.66,50.66,50.66,50.66
08/06/2009,53.55,53.55,53.55,53.55
08/07/2009,52.14,52.14,52.14,52.14
08/10/2009,49.49,49.49,49.49,49.49
08/11/2009,53.11,53.11,53.11,53.11
08/12/2009,51.55,51.55,51.55,51.55
08/13/2009,50.35,50.35,50.35,50.35
08/14/2009,49.97,49.97,49.97,49.97
08/17/2009,57.18,57.18,57.18,57.18
08/18/2009,54.01,54.01,54.01,54.01
08/19/2009,54.45,54.45,54.45,54.45
08/20/2009,51.98,51.98,51.98,51.98
08/21/2009,55.41,55.41,55.41,55.41
08/24/2009,55.58,55.58,55.58,55.58
08/25/2009,58.02,58.02,58.02,58.02
08/26/2009,59.29,59.29,59.29,59.29
08/27/2009,62.34,62.34,62.34,62.34
08/28/2009,58.02,58.02,58.02,58.02
08/31/2009,56.92,56.92,56.92,56.92
09/01/2009,65.37,65.37,65.37,65.37
09/02/2009,64.36,64.36,64.36,64.36
09/03/2009,58.0,58.0,58.0,58.0
09/04/2009,54.49,54.49,54.49,54.49
09/08/2009,50.18,50.18,50.18,50.18
09/09/2009,48.04,48.04,48.04,48.04
09/10/2009,47.16,47.16,47.16,47.16
09/11/2009,49.37,49.37,49.37,49.37
09/14/2009,47.7,47.7,47.7,47.7
09/15/2009,46.76,46.76,46.76,46.76
09/16/2009,47.82,47.82,47.82,47.82
09/17/2009,46.25,46.25,46.25,46.25
09/18/2009,50.1,50.1,50.1,50.1
09/21/2009,50.65,50.65,50.65,50.65
09/22/2009,47.34,47.34,47.34,47.34
09/23/2009,49.3,49.3,49.3,49.3
09/24/2009,53.07,53.07,53.07,53.07
09/25/2009,55.09,55.09,55.09,55.09
09/28/2009,52.28,52.28,52.28,52.28
09/29/2009,53.42,53.42,53.42,53.42
09/30/2009,53.87,53.87,53.87,53.87
10/01/2009,58.83,58.83,58.83,58.83
10/02/2009,60.41,60.41,60.41,60.41
10/05/2009,51.96,51.96,51.96,51.96
10/06/2009,50.45,50.45,50.45,50.45
10/07/2009,47.47,47.47,47.47,47.47
10/08/2009,46.85,46.85,46.85,46.85
10/09/2009,43.46,43.46,43.46,43.46
10/12/2009,44.5,44.5,44.5,44.5
10/13/2009,45.01,45.01,45.01,45.01
10/14/2009,46.65,46.65,46.65,46.65
10/15/2009,43.35,43.35,43.35,43.35
10/16/2009,49.5,49.5,49.5,49.5
10/19/2009,53.56,53.56,53.56,53.56
10/20/2009,52.01,52.01,52.01,52.01
10/21/2009,56.45,56.45,56.45,56.45
10/22/2009,51.22,51.22,51.22,51.22
10/23/2009,55.31,55.31,55.31,55.31
10/26/2009,58.38,58.38,58.38,58.38
10/27/2009,58.93,58.93,58.93,58.93
10/28/2009,64.93,64.93,64.93,64.93
10/29/2009,59.12,59.12,59.12,59.12
10/30/2009,66.05,66.05,66.05,66.05
11/02/2009,63.33,63.33,63.33,63.33
11/03/2009,61.17,61.17,61.17,61.17
11/04/2009,60.15,60.15,60.15,60.15
11/05/2009,60.59,60.59,60.59,60.59
11/06/2009,56.42,56.42,56.42,56.42
11/09/2009,53.64,53.64,53.64,53.64
11/10/2009,52.37,52.37,52.37,52.37
11/11/2009,52.61,52.61,52.61,52.61
11/12/2009,60.13,60.13,60.13,60.13
11/13/2009,58.57,58.57,58.57,58.57
11/16/2009,57.53,57.53,57.53,57.53
11/17/2009,57.69,57.69,57.69,57.69
11/18/2009,54.81,54.81,54.81,54.81
11/19/2009,54.49,54.49,54.49,54.49
11/20/2009,53.51,53.51,53.51,53.51
11/23/2009,55.06,55.06,55.06,55.06
11/24/2009,54.86,54.86,54.86,54.86
11/25/2009,56.43,56.43,56.43,56.43
11/27/2009,66.74,66.74,66.74,66.74
11/30/2009,62.9,62.9,62.9,62.9
12/01/2009,55.14,55.14,55.14,55.14
12/02/2009,52.31,52.31,52.31,52.31
12/03/2009,56.62,56.62,56.62,56.62
12/04/2009,53.51,53.51,53.51,53.51
12/07/2009,53.35,53.35,53.35,53.35
12/08/2009,57.53,57.53,57.53,57.53
12/09/2009,53.18,53.18,53.18,53.18
12/10/2009,51.31,51.31,51.31,51.31
12/11/2009,49.75,49.75,49.75,49.75
12/14/2009,47.55,47.55,47.55,47.55
12/15/2009,48.59,48.59,48.59,48.59
12/16/2009,47.43,47.43,47.43,47.43
12/17/2009,51.92,51.92,51.92,51.92
12/18/2009,50.48,50.48,50.48,50.48
12/21/2009,48.96,48.96,48.96,48.96
12/22/2009,45.96,45.96,45.96,45.96
12/23/2009,47.4,47.4,47.4,47.4
12/24/2009,45.26,45.26,45.26,45.26
12/28/2009,44.42,44.42,44.42,44.42
12/29/2009,45.98,45.98,45.98,45.98
12/30/2009,40.78,40.78,40.78,40.78
12/31/2009,50.31,50.31,50.31,50.31
01/04/2010,41.0,41.0,41.0,41.0
01/05/2010,37.69,37.69,37.69,37.69
01/06/2010,36.43,36.43,36.43,36.43
01/07/2010,34.52,34.52,34.52,34.52
01/08/2010,33.4,33.4,33.4,33.4
01/11/2010,32.58,32.58,32.58,32.58
01/12/2010,31.84,31.84,31.84,31.84
01/13/2010,33.16,33.16,33.16,33.16
01/14/2010,28.18,28.18,28.18,28.18
01/15/2010,25.41,25.41,25.41,25.41
01/19/2010,38.92,38.92,38.92,38.92
01/20/2010,42.17,42.17,42.17,42.17
01/21/2010,50.72,50.72,50.72,50.72
01/22/2010,63.41,63.41,63.41,63.41
01/25/2010,58.59,58.59,58.59,58.59
01/26/2010,59.77,59.77,59.77,59.77
01/27/2010,56.6,56.6,56.6,56.6
01/28/2010,58.13,58.13,58.13,58.13
01/29/2010,61.04,61.04,61.04,61.04
02/01/2010,56.46,56.46,56.46,56.46
02/02/2010,56.42,56.42,56.42,56.42
02/03/2010,58.59,58.59,58.59,58.59
02/04/2010,68.23,68.23,68.23,68.23
02/05/2010,63.89,63.89,63.89,63.89
02/08/2010,63.42,63.42,63.42,63.42
02/09/2010,65.96,65.96,65.96,65.96
02/10/2010,68.52,68.52,68.52,68.52
02/11/2010,67.21,67.21,67.21,67.21
02/12/2010,64.9,64.9,64.9,64.9
02/16/2010,60.58,60.58,60.58,60.58
02/17/2010,59.62,59.62,59.62,59.62
02/18/2010,56.55,56.55,56.55,56.55
02/19/2010,57.48,57.48,57.48,57.48
02/22/2010,58.19,58.19,58.19,58.19
02/23/2010,65.65,65.65,65.65,65.65
02/24/2010,65.81,65.81,65.81,65.81
02/25/2010,62.62,62.62,62.62,62.62
02/26/2010,64.76,64.76,64.76,64.76
03/01/2010,59.82,59.82,59.82,59.82
03/02/2010,58.72,58.72,58.72,58.72
03/03/2010,57.61,57.61,57.61,57.61
03/04/2010,58.74,58.74,58.74,58.74
03/05/2010,53.27,53.27,53.27,53.27
03/08/2010,51.31,51.31,51.31,51.31
03/09/2010,52.3,52.3,52.3,52.3
03/10/2010,53.78,53.78,53.78,53.78
03/11/2010,50.43,50.43,50.43,50.43
03/12/2010,48.99,48.99,48.99,48.99
03/15/2010,49.03,49.03,49.03,49.03
03/16/2010,46.3,46.3,46.3,46.3
03/17/2010,44.98,44.98,44.98,44.98
03/18/2010,45.01,45.01,45.01,45.01
03/19/2010,45.33,45.33,45.33,45.33
03/22/2010,44.2,44.2,44.2,44.2
03/23/2010,43.7,43.7,43.7,43.7
03/24/2010,46.46,46.46,46.46,46.46
03/25/2010,50.71,50.71,50.71,50.71
03/26/2010,46.02,46.02,46.02,46.02
03/29/2010,45.36,45.36,45.36,45.36
03/30/2010,44.42,44.42,44.42,44.42
03/31/2010,46.92,46.92,46.92,46.92
04/01/2010,47.66,47.66,47.66,47.66
04/05/2010,41.12,41.12,41.12,41.12
04/06/2010,38.55,38.55,38.55,38.55
04/07/2010,38.78,38.78,38.78,38.78
04/08/2010,37.33,37.33,37.33,37.33
04/09/2010,37.34,37.34,37.34,37.34
04/12/2010,37.2,37.2,37.2,37.2
04/13/2010,37.86,37.86,37.86,37.86
04/14/2010,33.45,33.45,33.45,33.45
04/15/2010,32.04,32.04,32.04,32.04
04/16/2010,39.08,39.08,39.08,39.08
04/19/2010,35.05,35.05,35.05,35.05
04/20/2010,32.32,32.32,32.32,32.32
04/21/2010,38.3,38.3,38.3,38.3
