session_date,prior_close,prior_rth_return,prior_realized_variance,prior_bipower_variation,prior_jump_variation,prior_jump_share,prior_positive_jump_variation,prior_negative_jump_variation,prior_signed_jump_share,jump_variation_3d_mean,jump_share_3d_mean,jump_share_5d_mean,jump_variation_change_5d,jump_var_rank_252,jump_share_rank_252,jump_var3_rank_252,jump_share3_rank_252,negative_jump_rank_252,positive_jump_rank_252,signed_jump_rank_252,jump_change_rank_252
2021-04-07,4064.5,0.0007386433583651542,1.2755100268782603e-05,1.1567443496906225e-05,1.187656771876378e-06,0.0931123038509624,2.4675090878001024e-06,2.921245555053106e-06,-0.0842006172715189,7.200314981102717e-07,0.05358070692347413,0.07411916628162096,-7.69337130037842e-06,0.36904761904761907,0.7698412698412699,0.06349206349206349,0.4801587301587302,0.03968253968253968,0.015873015873015872,0.4365079365079365,0.1111111111111111
2021-04-08,4069.5,0.0015381775672183018,1.5681501071613266e-05,1.4974010844156749e-05,7.074902274565175e-07,0.045116231171084764,3.517534638904214e-06,3.2505493712119256e-06,0.039447688192585956,9.55861573929111e-07,0.06861945064716905,0.043176376071790507,-8.612454993550284e-06,0.3055555555555556,0.46825396825396826,0.13095238095238096,0.6706349206349206,0.05952380952380952,0.04365079365079365,0.6468253968253969,0.0992063492063492
2021-04-09,4089.25,0.001592064172432739,9.625579520438275e-06,9.553187950157626e-06,7.239157028064918e-08,0.007520749283400343,3.369734460378533e-06,3.1012565411275734e-06,0.04148945952613316,6.558461898711816e-07,0.04858309476848239,0.04267582024498158,-1.1605730516362396e-07,0.24206349206349206,0.2619047619047619,0.05952380952380952,0.4007936507936508,0.05555555555555555,0.03968253968253968,0.6626984126984127,0.4523809523809524
2021-04-12,4119.25,0.007705950706378806,9.335655147150792e-06,8.726753381790156e-06,6.089017653606359e-07,0.06522324954842301,3.1932102436462105e-06,2.541730320873266e-06,0.11359837394017198,4.629278543659342e-07,0.03928674333430259,0.05572047015466618,6.089017653606359e-07,0.3055555555555556,0.6309523809523809,0.04365079365079365,0.32142857142857145,0.023809523809523808,0.03968253968253968,0.7341269841269841,0.5634920634920635
2021-04-13,4121.0,0.002005957084675769,1.202538264293085e-05,1.1378836613015581e-05,6.465460299152696e-07,0.0537651107755264,1.78145690741072e-06,2.325820995841622e-06,-0.1325364636271259,4.426131218521849e-07,0.0421697032024498,0.052947528925879395,-3.2589169253916745e-07,0.30952380952380953,0.5595238095238095,0.03571428571428571,0.34523809523809523,0.015873015873015872,0.011904761904761904,0.38095238095238093,0.42857142857142855
2021-04-14,4132.5,0.0030948479883488034,9.172242368366368e-06,8.12483130499688e-06,1.0474110633694888e-06,0.11419356590290788,1.053952996781198e-06,1.675822099122711e-06,-0.22780964749610397,7.676196195484647e-07,0.07772730874228566,0.057163781336268496,-1.4024570850688924e-07,0.36507936507936506,0.8452380952380952,0.10317460317460317,0.75,0.015873015873015872,0.003968253968253968,0.20238095238095238,0.45634920634920634
2021-04-15,4120.0,-0.002964486659810084,2.5377432260308796e-05,2.6139153950234656e-05,0.0,0.0,6.815593898951741e-06,8.808025587122145e-06,-0.1275268954128305,5.646523644282528e-07,0.055986225559477985,0.04814053510205154,-7.074902274565175e-07,0.11507936507936507,0.11507936507936507,0.05952380952380952,0.5238095238095238,0.2619047619047619,0.1984126984126984,0.3888888888888889,0.4007936507936508
2021-04-16,4163.25,0.00519104243375379,1.3306947305978802e-05,1.3697151345411155e-05,0.0,0.0,3.708816436913391e-06,1.7342650144040758e-06,0.36276352653723126,3.4913702112316294e-07,0.03806452196763585,0.04663638524537147,-7.239157028064918e-08,0.11706349206349206,0.11706349206349206,0.027777777777777776,0.3055555555555556,0.01984126984126984,0.06746031746031746,0.9444444444444444,0.4642857142857143
2021-04-19,4177.25,5.9851568111168874e-05,1.2437405240983886e-05,1.1644574629000425e-05,7.928306119834616e-07,0.06374566049925885,2.1861883841525842e-06,3.1186783012090624e-06,-0.1757800850358048,2.6427687066115385e-07,0.02124855349975284,0.046340867435538634,1.8392884662282574e-07,0.32936507936507936,0.626984126984127,0.023809523809523808,0.14682539682539683,0.07539682539682539,0.023809523809523808,0.30158730158730157,0.5238095238095238
2021-04-20,4157.25,-0.0022799544009119987,3.2187762521823036e-05,3.0734905303853415e-05,1.4528572179696209e-06,0.04513694348852598,5.546267575545222e-06,6.5949920600892425e-06,-0.08637690948194746,7.485626099843608e-07,0.0362942013292615,0.04461523397813856,8.063111880543513e-07,0.4365079365079365,0.4722222222222222,0.10317460317460317,0.27380952380952384,0.1865079365079365,0.15873015873015872,0.4444444444444444,0.5912698412698413
