session_date,net_pnl,gross_pnl,trades,wins,losses
2017-02-22,32.5,37.5,1,1,0
2017-02-24,45.0,50.0,1,1,0
2017-02-28,-30.0,-25.0,1,0,1
2017-03-20,-30.0,-25.0,1,0,1
2017-03-23,-30.0,-25.0,1,0,1
2017-03-24,-117.5,-112.5,1,0,1
2017-03-27,-30.0,-25.0,1,0,1
2017-03-28,-30.0,-25.0,1,0,1
2017-03-31,-30.0,-25.0,1,0,1
2017-04-06,-92.5,-87.5,1,0,1
2017-04-12,-30.0,-25.0,1,0,1
2017-04-20,-30.0,-25.0,1,0,1
2017-04-26,-42.5,-37.5,1,0,1
2017-04-27,32.5,37.5,1,1,0
2017-05-01,-42.5,-37.5,1,0,1
2017-05-10,70.0,75.0,1,1,0
2017-05-26,95.0,100.0,1,1,0
2017-06-02,-30.0,-25.0,1,0,1
2017-06-23,-17.5,-12.5,1,0,1
2017-06-27,45.0,50.0,1,1,0
2017-06-28,-67.5,-62.5,1,0,1
2017-07-10,-55.0,-50.0,1,0,1
2017-07-11,-30.0,-25.0,1,0,1
2017-07-19,57.5,62.5,1,1,0
2017-08-09,-30.0,-25.0,1,0,1
2017-08-11,-17.5,-12.5,1,0,1
2017-08-16,-30.0,-25.0,1,0,1
2017-08-18,232.5,237.5,1,1,0
2017-08-23,32.5,37.5,1,1,0
2017-08-30,-30.0,-25.0,1,0,1
2017-08-31,-30.0,-25.0,1,0,1
2017-09-08,-55.0,-50.0,1,0,1
2017-09-13,-42.5,-37.5,1,0,1
2017-09-14,-30.0,-25.0,1,0,1
2017-09-22,-30.0,-25.0,1,0,1
2017-09-28,-55.0,-50.0,1,0,1
2017-10-05,-30.0,-25.0,1,0,1
2017-10-06,-55.0,-50.0,1,0,1
2017-10-13,-42.5,-37.5,1,0,1
2017-10-20,-30.0,-25.0,1,0,1
2017-10-30,-30.0,-25.0,1,0,1
2017-11-06,-5.0,0.0,1,0,1
2017-11-08,7.5,12.5,1,1,0
2017-11-09,-42.5,-37.5,1,0,1
2017-11-15,-17.5,-12.5,1,0,1
2017-11-20,-30.0,-25.0,1,0,1
2017-11-21,-42.5,-37.5,1,0,1
2017-11-30,-30.0,-25.0,1,0,1
2017-12-01,-67.5,-62.5,1,0,1
2017-12-05,-17.5,-12.5,1,0,1
2017-12-12,-17.5,-12.5,1,0,1
2017-12-13,82.5,87.5,1,1,0
2017-12-27,-42.5,-37.5,1,0,1
2018-01-04,-42.5,-37.5,1,0,1
2018-01-11,-17.5,-12.5,1,0,1
2018-03-07,-30.0,-25.0,1,0,1
2018-03-16,-42.5,-37.5,1,0,1
2018-03-21,-42.5,-37.5,1,0,1
2018-04-16,57.5,62.5,1,1,0
2018-04-17,-42.5,-37.5,1,0,1
2018-04-19,-80.0,-75.0,1,0,1
2018-05-08,-55.0,-50.0,1,0,1
2018-05-10,-67.5,-62.5,1,0,1
2018-05-16,-55.0,-50.0,1,0,1
2018-05-18,232.5,237.5,1,1,0
2018-05-25,-30.0,-25.0,1,0,1
2018-05-30,57.5,62.5,1,1,0
2018-06-01,-42.5,-37.5,1,0,1
2018-06-05,20.0,25.0,1,1,0
2018-06-08,7.5,12.5,1,1,0
2018-06-11,45.0,50.0,1,1,0
2018-06-13,-55.0,-50.0,1,0,1
2018-06-14,-42.5,-37.5,1,0,1
2018-06-18,-105.0,-100.0,1,0,1
2018-06-29,-30.0,-25.0,1,0,1
2018-07-06,-55.0,-50.0,1,0,1
2018-07-10,-42.5,-37.5,1,0,1
2018-07-11,32.5,37.5,1,1,0
2018-07-12,-42.5,-37.5,1,0,1
2018-07-13,-30.0,-25.0,1,0,1
2018-07-20,-67.5,-62.5,1,0,1
2018-08-01,-55.0,-50.0,1,0,1
2018-08-03,-42.5,-37.5,1,0,1
2018-08-07,-67.5,-62.5,1,0,1
2018-08-09,-30.0,-25.0,1,0,1
2018-08-16,-17.5,-12.5,1,0,1
2018-08-29,32.5,37.5,1,1,0
2018-08-31,32.5,37.5,1,1,0
2018-09-04,32.5,37.5,1,1,0
2018-09-18,-42.5,-37.5,1,0,1
2018-09-20,-30.0,-25.0,1,0,1
2018-09-26,-55.0,-50.0,1,0,1
2018-09-28,-30.0,-25.0,1,0,1
2018-11-21,-180.0,-175.0,1,0,1
2018-12-13,420.0,425.0,1,1,0
2018-12-14,-55.0,-50.0,1,0,1
2018-12-20,57.5,62.5,1,1,0
2019-01-07,-42.5,-37.5,1,0,1
2019-01-14,-30.0,-25.0,1,0,1
2019-01-15,-67.5,-62.5,1,0,1
2019-01-17,57.5,62.5,1,1,0
2019-02-05,57.5,62.5,1,1,0
2019-02-14,-42.5,-37.5,1,0,1
2019-02-19,-55.0,-50.0,1,0,1
2019-02-20,-30.0,-25.0,1,0,1
2019-02-22,-42.5,-37.5,1,0,1
2019-03-13,-42.5,-37.5,1,0,1
2019-03-21,-67.5,-62.5,1,0,1
2019-03-26,127.5,137.5,2,1,1
2019-03-28,-55.0,-50.0,1,0,1
2019-04-01,-55.0,-50.0,1,0,1
2019-04-03,-30.0,-25.0,1,0,1
2019-04-09,232.5,237.5,1,1,0
2019-04-23,-42.5,-37.5,1,0,1
2019-04-24,-42.5,-37.5,1,0,1
2019-04-26,82.5,87.5,1,1,0
2019-04-29,-30.0,-25.0,1,0,1
2019-05-06,-105.0,-100.0,1,0,1
2019-05-08,57.5,62.5,1,1,0
2019-05-17,-42.5,-37.5,1,0,1
2019-05-20,-92.5,-87.5,1,0,1
2019-05-31,-30.0,-25.0,1,0,1
2019-06-03,-42.5,-37.5,1,0,1
2019-06-10,-42.5,-37.5,1,0,1
2019-06-21,-30.0,-25.0,1,0,1
2019-06-24,-17.5,-12.5,1,0,1
2019-07-09,-42.5,-37.5,1,0,1
2019-07-16,70.0,75.0,1,1,0
2019-07-18,-55.0,-50.0,1,0,1
2019-08-01,-55.0,-50.0,1,0,1
2019-08-07,-117.5,-112.5,1,0,1
2019-08-23,-80.0,-75.0,1,0,1
2019-09-06,-67.5,-62.5,1,0,1
2019-09-11,-42.5,-37.5,1,0,1
2019-09-16,257.5,262.5,1,1,0
2019-09-19,70.0,75.0,1,1,0
2019-09-30,7.5,12.5,1,1,0
2019-10-04,-92.5,-87.5,1,0,1
2019-10-07,-42.5,-37.5,1,0,1
2019-10-14,-30.0,-25.0,1,0,1
2019-10-15,-30.0,-25.0,1,0,1
2019-10-22,20.0,25.0,1,1,0
