variant,window,start_date,end_date,entry_combos,calendar_sessions,lookback_days,min_orderflow_imbalance,signals,signals_per_year,density_pass
morning_1030_large10_confirmed_slot,full,2011-01-03,2026-06-09,9,3817,20,0.01,1515,98.16458222458755,True
morning_1030_large10_confirmed_slot,full,2011-01-03,2026-06-09,9,3817,20,0.02,1383,89.6116285258116,True
morning_1030_large10_confirmed_slot,full,2011-01-03,2026-06-09,9,3817,40,0.0,1552,100.56200106439596,True
morning_1030_large10_confirmed_slot,full,2011-01-03,2026-06-09,9,3817,40,0.01,1444,93.56412985630654,True
morning_1030_large10_confirmed_slot,full,2011-01-03,2026-06-09,9,3817,40,0.02,1310,84.88158594997338,True
morning_1030_large10_confirmed_slot,limited_core_random_10pct,2011-02-22,2012-09-06,9,374,10,0.0,165,107.04484902309058,True
morning_1030_large10_confirmed_slot,limited_core_random_10pct,2011-02-22,2012-09-06,9,374,10,0.01,151,97.96225577264653,True
morning_1030_large10_confirmed_slot,limited_core_random_10pct,2011-02-22,2012-09-06,9,374,10,0.02,133,86.28463587921847,True
morning_1030_large10_confirmed_slot,limited_core_random_10pct,2011-02-22,2012-09-06,9,374,20,0.0,159,103.15230905861456,True
morning_1030_large10_confirmed_slot,limited_core_random_10pct,2011-02-22,2012-09-06,9,374,20,0.01,144,93.42095914742451,True
morning_1030_large10_confirmed_slot,limited_core_random_10pct,2011-02-22,2012-09-06,9,374,20,0.02,132,85.63587921847247,True
morning_1030_large10_confirmed_slot,limited_core_random_10pct,2011-02-22,2012-09-06,9,374,40,0.0,151,97.96225577264653,True
morning_1030_large10_confirmed_slot,limited_core_random_10pct,2011-02-22,2012-09-06,9,374,40,0.01,139,90.17717584369449,True
morning_1030_large10_confirmed_slot,limited_core_random_10pct,2011-02-22,2012-09-06,9,374,40,0.02,129,83.68960923623446,True
morning_1030_large10_confirmed_slot,wfa_first_90pct,2011-01-03,2024-11-22,9,3438,10,0.0,1587,114.26212300413957,True
morning_1030_large10_confirmed_slot,wfa_first_90pct,2011-01-03,2024-11-22,9,3438,10,0.01,1450,104.3982850384388,True
morning_1030_large10_confirmed_slot,wfa_first_90pct,2011-01-03,2024-11-22,9,3438,10,0.02,1315,94.6784447072738,True
morning_1030_large10_confirmed_slot,wfa_first_90pct,2011-01-03,2024-11-22,9,3438,20,0.0,1476,106.2702542874039,True
morning_1030_large10_confirmed_slot,wfa_first_90pct,2011-01-03,2024-11-22,9,3438,20,0.01,1351,97.2704021289178,True
morning_1030_large10_confirmed_slot,wfa_first_90pct,2011-01-03,2024-11-22,9,3438,20,0.02,1229,88.48654642223536,True
morning_1030_large10_confirmed_slot,wfa_first_90pct,2011-01-03,2024-11-22,9,3438,40,0.0,1375,98.99837374334713,True
morning_1030_large10_confirmed_slot,wfa_first_90pct,2011-01-03,2024-11-22,9,3438,40,0.01,1278,92.01448846836192,True
morning_1030_large10_confirmed_slot,wfa_first_90pct,2011-01-03,2024-11-22,9,3438,40,0.02,1153,83.01463630987581,True
morning_1030_large10_confirmed_slot,latest_1y,2025-06-09,2026-06-09,9,249,10,0.0,121,120.75204918032787,True
morning_1030_large10_confirmed_slot,latest_1y,2025-06-09,2026-06-09,9,249,10,0.01,116,115.76229508196721,True
morning_1030_large10_confirmed_slot,latest_1y,2025-06-09,2026-06-09,9,249,10,0.02,110,109.77459016393443,True
morning_1030_large10_confirmed_slot,latest_1y,2025-06-09,2026-06-09,9,249,20,0.0,106,105.7827868852459,True
morning_1030_large10_confirmed_slot,latest_1y,2025-06-09,2026-06-09,9,249,20,0.01,102,101.79098360655738,True
morning_1030_large10_confirmed_slot,latest_1y,2025-06-09,2026-06-09,9,249,20,0.02,98,97.79918032786885,True
morning_1030_large10_confirmed_slot,latest_1y,2025-06-09,2026-06-09,9,249,40,0.0,108,107.77868852459017,True
morning_1030_large10_confirmed_slot,latest_1y,2025-06-09,2026-06-09,9,249,40,0.01,105,104.78483606557377,True
morning_1030_large10_confirmed_slot,latest_1y,2025-06-09,2026-06-09,9,249,40,0.02,101,100.79303278688525,True
