campaign_id,variant_id,window,breakout_buffer_ticks,min_measured_move_ticks,signals,span_years,signals_per_year,density_pass_50_per_year
nq_chartfanatics_measured_move_pullback,morning_5_15_short_measured_breakdown,full_available_history,0,16.0,806,15.439358506350294,52.204241495427915,True
nq_chartfanatics_measured_move_pullback,morning_5_15_short_measured_breakdown,limited_core_window,0,16.0,71,1.5420279108677466,46.04326517024333,False
nq_chartfanatics_measured_move_pullback,morning_5_15_short_measured_breakdown,latest_252_sessions,0,16.0,50,1.0082610844931172,49.59033009305966,False
nq_chartfanatics_measured_move_pullback,morning_5_15_short_measured_breakdown,full_available_history,0,32.0,716,15.439358506350294,46.37498376020644,False
nq_chartfanatics_measured_move_pullback,morning_5_15_short_measured_breakdown,limited_core_window,0,32.0,55,1.5420279108677466,35.66731808962511,False
nq_chartfanatics_measured_move_pullback,morning_5_15_short_measured_breakdown,latest_252_sessions,0,32.0,50,1.0082610844931172,49.59033009305966,False
nq_chartfanatics_measured_move_pullback,morning_5_15_short_measured_breakdown,full_available_history,0,64.0,558,15.439358506350294,36.141397958373176,False
nq_chartfanatics_measured_move_pullback,morning_5_15_short_measured_breakdown,limited_core_window,0,64.0,13,1.5420279108677466,8.4304570030023,False
nq_chartfanatics_measured_move_pullback,morning_5_15_short_measured_breakdown,latest_252_sessions,0,64.0,50,1.0082610844931172,49.59033009305966,False
nq_chartfanatics_measured_move_pullback,morning_5_15_short_measured_breakdown,full_available_history,1,16.0,797,15.439358506350294,51.62131572190577,True
nq_chartfanatics_measured_move_pullback,morning_5_15_short_measured_breakdown,limited_core_window,1,16.0,69,1.5420279108677466,44.74627178516605,False
nq_chartfanatics_measured_move_pullback,morning_5_15_short_measured_breakdown,latest_252_sessions,1,16.0,50,1.0082610844931172,49.59033009305966,False
nq_chartfanatics_measured_move_pullback,morning_5_15_short_measured_breakdown,full_available_history,1,32.0,710,15.439358506350294,45.98636657785834,False
nq_chartfanatics_measured_move_pullback,morning_5_15_short_measured_breakdown,limited_core_window,1,32.0,54,1.5420279108677466,35.01882139708648,False
nq_chartfanatics_measured_move_pullback,morning_5_15_short_measured_breakdown,latest_252_sessions,1,32.0,50,1.0082610844931172,49.59033009305966,False
nq_chartfanatics_measured_move_pullback,morning_5_15_short_measured_breakdown,full_available_history,1,64.0,553,15.439358506350294,35.81755030641642,False
nq_chartfanatics_measured_move_pullback,morning_5_15_short_measured_breakdown,limited_core_window,1,64.0,13,1.5420279108677466,8.4304570030023,False
nq_chartfanatics_measured_move_pullback,morning_5_15_short_measured_breakdown,latest_252_sessions,1,64.0,50,1.0082610844931172,49.59033009305966,False
nq_chartfanatics_measured_move_pullback,morning_5_15_short_measured_breakdown,full_available_history,2,16.0,796,15.439358506350294,51.55654619151442,True
nq_chartfanatics_measured_move_pullback,morning_5_15_short_measured_breakdown,limited_core_window,2,16.0,68,1.5420279108677466,44.097775092627415,False
nq_chartfanatics_measured_move_pullback,morning_5_15_short_measured_breakdown,latest_252_sessions,2,16.0,50,1.0082610844931172,49.59033009305966,False
nq_chartfanatics_measured_move_pullback,morning_5_15_short_measured_breakdown,full_available_history,2,32.0,706,15.439358506350294,45.72728845629294,False
nq_chartfanatics_measured_move_pullback,morning_5_15_short_measured_breakdown,limited_core_window,2,32.0,52,1.5420279108677466,33.7218280120092,False
nq_chartfanatics_measured_move_pullback,morning_5_15_short_measured_breakdown,latest_252_sessions,2,32.0,50,1.0082610844931172,49.59033009305966,False
nq_chartfanatics_measured_move_pullback,morning_5_15_short_measured_breakdown,full_available_history,2,64.0,552,15.439358506350294,35.75278077602508,False
nq_chartfanatics_measured_move_pullback,morning_5_15_short_measured_breakdown,limited_core_window,2,64.0,13,1.5420279108677466,8.4304570030023,False
nq_chartfanatics_measured_move_pullback,morning_5_15_short_measured_breakdown,latest_252_sessions,2,64.0,50,1.0082610844931172,49.59033009305966,False
