variant_id,gate_col,gate_max,share_rank_min,min_abs_return_ticks,period,signals,signals_per_year
exclude_extreme_downside20_trade_morning_1030,downside20_rank_252,0.95,0.45,3,latest1y,76,76.26098901098901
exclude_extreme_downside20_trade_morning_1030,downside20_rank_252,0.95,0.45,4,full,415,58.50202624469316
exclude_extreme_downside20_trade_morning_1030,downside20_rank_252,0.95,0.45,4,limited_core,57,80.07403846153846
exclude_extreme_downside20_trade_morning_1030,downside20_rank_252,0.95,0.45,4,wfa90,363,56.13283234546994
exclude_extreme_downside20_trade_morning_1030,downside20_rank_252,0.95,0.45,4,latest1y,74,74.25412087912088
exclude_extreme_downside20_trade_morning_1030,downside20_rank_252,0.95,0.55,2,full,401,56.52846391354689
exclude_extreme_downside20_trade_morning_1030,downside20_rank_252,0.95,0.55,2,limited_core,55,77.26442307692308
exclude_extreme_downside20_trade_morning_1030,downside20_rank_252,0.95,0.55,2,wfa90,349,53.96792972057578
exclude_extreme_downside20_trade_morning_1030,downside20_rank_252,0.95,0.55,2,latest1y,69,69.23695054945054
exclude_extreme_downside20_trade_morning_1030,downside20_rank_252,0.95,0.55,3,full,393,55.40071401003473
exclude_extreme_downside20_trade_morning_1030,downside20_rank_252,0.95,0.55,3,limited_core,52,73.05
exclude_extreme_downside20_trade_morning_1030,downside20_rank_252,0.95,0.55,3,wfa90,342,52.885478408128705
exclude_extreme_downside20_trade_morning_1030,downside20_rank_252,0.95,0.55,3,latest1y,68,68.23351648351648
exclude_extreme_downside20_trade_morning_1030,downside20_rank_252,0.95,0.55,4,full,377,53.14521420301042
exclude_extreme_downside20_trade_morning_1030,downside20_rank_252,0.95,0.55,4,limited_core,51,71.64519230769231
exclude_extreme_downside20_trade_morning_1030,downside20_rank_252,0.95,0.55,4,wfa90,327,50.565939881456394
exclude_extreme_downside20_trade_morning_1030,downside20_rank_252,0.95,0.55,4,latest1y,66,66.22664835164835
vol_downshift_trade_morning_1030,vol5_over_vol20,1.25,0.35,2,full,496,69.92049401775375
vol_downshift_trade_morning_1030,vol5_over_vol20,1.25,0.35,2,limited_core,54,75.85961538461538
vol_downshift_trade_morning_1030,vol5_over_vol20,1.25,0.35,2,wfa90,443,68.50370448772227
vol_downshift_trade_morning_1030,vol5_over_vol20,1.25,0.35,2,latest1y,75,75.25755494505495
vol_downshift_trade_morning_1030,vol5_over_vol20,1.25,0.35,3,full,484,68.22886916248552
vol_downshift_trade_morning_1030,vol5_over_vol20,1.25,0.35,3,limited_core,52,73.05
vol_downshift_trade_morning_1030,vol5_over_vol20,1.25,0.35,3,wfa90,433,66.95734546994073
vol_downshift_trade_morning_1030,vol5_over_vol20,1.25,0.35,3,latest1y,73,73.2506868131868
vol_downshift_trade_morning_1030,vol5_over_vol20,1.25,0.35,4,full,464,65.40949440370512
vol_downshift_trade_morning_1030,vol5_over_vol20,1.25,0.35,4,limited_core,51,71.64519230769231
vol_downshift_trade_morning_1030,vol5_over_vol20,1.25,0.35,4,wfa90,414,64.0192633361558
vol_downshift_trade_morning_1030,vol5_over_vol20,1.25,0.35,4,latest1y,71,71.24381868131867
vol_downshift_trade_morning_1030,vol5_over_vol20,1.25,0.45,2,full,442,62.308182169046695
