campaign_id,variant_id,window,run_id,start_date,end_date,session_days_with_signal_bar,signal_days,signals,signals_per_year,long_signals,short_signals,entry.params.breakout_buffer_ticks,entry.params.min_orderflow_imbalance,sl.params.stop_pct,tp.params.target_r_multiple
nq_prior_value_area_orderflow_acceptance,afternoon_large20_two_sided_acceptance,limited_core_window,49,2011-02-22,2012-09-07,371,324,324,209.8244680851064,179,145,2,0.02,0.0045,1.0
nq_prior_value_area_orderflow_acceptance,afternoon_large20_two_sided_acceptance,full_available_history,50,2011-01-03,2026-06-12,3813,3301,3301,213.7748670212766,1895,1406,2,0.02,0.0045,1.5
nq_prior_value_area_orderflow_acceptance,afternoon_large20_two_sided_acceptance,limited_core_window,50,2011-02-22,2012-09-07,371,324,324,209.8244680851064,179,145,2,0.02,0.0045,1.5
nq_prior_value_area_orderflow_acceptance,afternoon_large20_two_sided_acceptance,full_available_history,51,2011-01-03,2026-06-12,3813,3301,3301,213.7748670212766,1895,1406,2,0.02,0.0045,2.0
nq_prior_value_area_orderflow_acceptance,afternoon_large20_two_sided_acceptance,limited_core_window,51,2011-02-22,2012-09-07,371,324,324,209.8244680851064,179,145,2,0.02,0.0045,2.0
nq_prior_value_area_orderflow_acceptance,afternoon_large20_two_sided_acceptance,full_available_history,52,2011-01-03,2026-06-12,3813,3301,3301,213.7748670212766,1895,1406,2,0.02,0.006,1.0
nq_prior_value_area_orderflow_acceptance,afternoon_large20_two_sided_acceptance,limited_core_window,52,2011-02-22,2012-09-07,371,324,324,209.8244680851064,179,145,2,0.02,0.006,1.0
nq_prior_value_area_orderflow_acceptance,afternoon_large20_two_sided_acceptance,full_available_history,53,2011-01-03,2026-06-12,3813,3301,3301,213.7748670212766,1895,1406,2,0.02,0.006,1.5
nq_prior_value_area_orderflow_acceptance,afternoon_large20_two_sided_acceptance,limited_core_window,53,2011-02-22,2012-09-07,371,324,324,209.8244680851064,179,145,2,0.02,0.006,1.5
nq_prior_value_area_orderflow_acceptance,afternoon_large20_two_sided_acceptance,full_available_history,54,2011-01-03,2026-06-12,3813,3301,3301,213.7748670212766,1895,1406,2,0.02,0.006,2.0
nq_prior_value_area_orderflow_acceptance,afternoon_large20_two_sided_acceptance,limited_core_window,54,2011-02-22,2012-09-07,371,324,324,209.8244680851064,179,145,2,0.02,0.006,2.0
nq_prior_value_area_orderflow_acceptance,afternoon_large20_two_sided_acceptance,full_available_history,55,2011-01-03,2026-06-12,3813,3301,3301,213.7748670212766,1896,1405,3,0.0,0.003,1.0
nq_prior_value_area_orderflow_acceptance,afternoon_large20_two_sided_acceptance,limited_core_window,55,2011-02-22,2012-09-07,371,320,320,207.2340425531915,177,143,3,0.0,0.003,1.0
nq_prior_value_area_orderflow_acceptance,afternoon_large20_two_sided_acceptance,full_available_history,56,2011-01-03,2026-06-12,3813,3301,3301,213.7748670212766,1896,1405,3,0.0,0.003,1.5
nq_prior_value_area_orderflow_acceptance,afternoon_large20_two_sided_acceptance,limited_core_window,56,2011-02-22,2012-09-07,371,320,320,207.2340425531915,177,143,3,0.0,0.003,1.5
nq_prior_value_area_orderflow_acceptance,afternoon_large20_two_sided_acceptance,full_available_history,57,2011-01-03,2026-06-12,3813,3301,3301,213.7748670212766,1896,1405,3,0.0,0.003,2.0
nq_prior_value_area_orderflow_acceptance,afternoon_large20_two_sided_acceptance,limited_core_window,57,2011-02-22,2012-09-07,371,320,320,207.2340425531915,177,143,3,0.0,0.003,2.0
nq_prior_value_area_orderflow_acceptance,afternoon_large20_two_sided_acceptance,full_available_history,58,2011-01-03,2026-06-12,3813,3301,3301,213.7748670212766,1896,1405,3,0.0,0.0045,1.0
nq_prior_value_area_orderflow_acceptance,afternoon_large20_two_sided_acceptance,limited_core_window,58,2011-02-22,2012-09-07,371,320,320,207.2340425531915,177,143,3,0.0,0.0045,1.0
nq_prior_value_area_orderflow_acceptance,afternoon_large20_two_sided_acceptance,full_available_history,59,2011-01-03,2026-06-12,3813,3301,3301,213.7748670212766,1896,1405,3,0.0,0.0045,1.5
nq_prior_value_area_orderflow_acceptance,afternoon_large20_two_sided_acceptance,limited_core_window,59,2011-02-22,2012-09-07,371,320,320,207.2340425531915,177,143,3,0.0,0.0045,1.5
nq_prior_value_area_orderflow_acceptance,afternoon_large20_two_sided_acceptance,full_available_history,60,2011-01-03,2026-06-12,3813,3301,3301,213.7748670212766,1896,1405,3,0.0,0.0045,2.0
nq_prior_value_area_orderflow_acceptance,afternoon_large20_two_sided_acceptance,limited_core_window,60,2011-02-22,2012-09-07,371,320,320,207.2340425531915,177,143,3,0.0,0.0045,2.0
nq_prior_value_area_orderflow_acceptance,afternoon_large20_two_sided_acceptance,full_available_history,61,2011-01-03,2026-06-12,3813,3301,3301,213.7748670212766,1896,1405,3,0.0,0.006,1.0
nq_prior_value_area_orderflow_acceptance,afternoon_large20_two_sided_acceptance,limited_core_window,61,2011-02-22,2012-09-07,371,320,320,207.2340425531915,177,143,3,0.0,0.006,1.0
nq_prior_value_area_orderflow_acceptance,afternoon_large20_two_sided_acceptance,full_available_history,62,2011-01-03,2026-06-12,3813,3301,3301,213.7748670212766,1896,1405,3,0.0,0.006,1.5
nq_prior_value_area_orderflow_acceptance,afternoon_large20_two_sided_acceptance,limited_core_window,62,2011-02-22,2012-09-07,371,320,320,207.2340425531915,177,143,3,0.0,0.006,1.5
nq_prior_value_area_orderflow_acceptance,afternoon_large20_two_sided_acceptance,full_available_history,63,2011-01-03,2026-06-12,3813,3301,3301,213.7748670212766,1896,1405,3,0.0,0.006,2.0
nq_prior_value_area_orderflow_acceptance,afternoon_large20_two_sided_acceptance,limited_core_window,63,2011-02-22,2012-09-07,371,320,320,207.2340425531915,177,143,3,0.0,0.006,2.0
nq_prior_value_area_orderflow_acceptance,afternoon_large20_two_sided_acceptance,full_available_history,64,2011-01-03,2026-06-12,3813,3297,3297,213.5158244680851,1893,1404,3,0.01,0.003,1.0
nq_prior_value_area_orderflow_acceptance,afternoon_large20_two_sided_acceptance,limited_core_window,64,2011-02-22,2012-09-07,371,320,320,207.2340425531915,177,143,3,0.01,0.003,1.0
nq_prior_value_area_orderflow_acceptance,afternoon_large20_two_sided_acceptance,full_available_history,65,2011-01-03,2026-06-12,3813,3297,3297,213.5158244680851,1893,1404,3,0.01,0.003,1.5
nq_prior_value_area_orderflow_acceptance,afternoon_large20_two_sided_acceptance,limited_core_window,65,2011-02-22,2012-09-07,371,320,320,207.2340425531915,177,143,3,0.01,0.003,1.5
nq_prior_value_area_orderflow_acceptance,afternoon_large20_two_sided_acceptance,full_available_history,66,2011-01-03,2026-06-12,3813,3297,3297,213.5158244680851,1893,1404,3,0.01,0.003,2.0
nq_prior_value_area_orderflow_acceptance,afternoon_large20_two_sided_acceptance,limited_core_window,66,2011-02-22,2012-09-07,371,320,320,207.2340425531915,177,143,3,0.01,0.003,2.0
nq_prior_value_area_orderflow_acceptance,afternoon_large20_two_sided_acceptance,full_available_history,67,2011-01-03,2026-06-12,3813,3297,3297,213.5158244680851,1893,1404,3,0.01,0.0045,1.0
nq_prior_value_area_orderflow_acceptance,afternoon_large20_two_sided_acceptance,limited_core_window,67,2011-02-22,2012-09-07,371,320,320,207.2340425531915,177,143,3,0.01,0.0045,1.0
nq_prior_value_area_orderflow_acceptance,afternoon_large20_two_sided_acceptance,full_available_history,68,2011-01-03,2026-06-12,3813,3297,3297,213.5158244680851,1893,1404,3,0.01,0.0045,1.5
nq_prior_value_area_orderflow_acceptance,afternoon_large20_two_sided_acceptance,limited_core_window,68,2011-02-22,2012-09-07,371,320,320,207.2340425531915,177,143,3,0.01,0.0045,1.5
nq_prior_value_area_orderflow_acceptance,afternoon_large20_two_sided_acceptance,full_available_history,69,2011-01-03,2026-06-12,3813,3297,3297,213.5158244680851,1893,1404,3,0.01,0.0045,2.0
nq_prior_value_area_orderflow_acceptance,afternoon_large20_two_sided_acceptance,limited_core_window,69,2011-02-22,2012-09-07,371,320,320,207.2340425531915,177,143,3,0.01,0.0045,2.0
nq_prior_value_area_orderflow_acceptance,afternoon_large20_two_sided_acceptance,full_available_history,70,2011-01-03,2026-06-12,3813,3297,3297,213.5158244680851,1893,1404,3,0.01,0.006,1.0
