previous_rth_available,overnight_available,events,neutral_side_events,aoi_eligible_events,taps,delta_bubbles,big_trade_bubbles,orders_armed,fill_gate_rejections,target_guard_exits,news_resets,news_flatten_trades,session_date,contract_symbol,source_events,trades,input_was_canonically_sorted,canonical_event_order
True,True,132949,0,10,63,6186,10113,1,0,0,0,0,2026-02-18,ESH6,132949,1,True,utc_timestamp_ns_then_source_ordinal
True,True,141026,0,27,121,2862,18994,5,0,0,0,0,2026-02-19,ESH6,141026,0,True,utc_timestamp_ns_then_source_ordinal
True,True,206584,0,54,155,3429,22544,1,0,0,0,0,2026-02-20,ESH6,206584,1,True,utc_timestamp_ns_then_source_ordinal
True,True,153436,0,34,140,4896,1514,5,0,0,0,0,2026-02-23,ESH6,153436,1,True,utc_timestamp_ns_then_source_ordinal
True,True,159648,0,37,71,7695,10626,3,0,0,0,0,2026-02-24,ESH6,159648,2,True,utc_timestamp_ns_then_source_ordinal
True,True,98862,0,25,84,2052,0,17,0,0,0,0,2026-02-25,ESH6,98862,2,True,utc_timestamp_ns_then_source_ordinal
True,True,194770,0,40,82,9493,19661,5,0,0,0,0,2026-02-26,ESH6,194770,2,True,utc_timestamp_ns_then_source_ordinal
True,True,147589,0,19,105,2184,15510,6,0,0,0,0,2026-02-27,ESH6,147589,1,True,utc_timestamp_ns_then_source_ordinal
True,True,174354,0,33,73,5312,1005,4,0,0,0,0,2026-03-02,ESH6,174354,1,True,utc_timestamp_ns_then_source_ordinal
True,True,240440,0,40,111,5651,15476,0,0,0,0,0,2026-03-03,ESH6,240440,0,True,utc_timestamp_ns_then_source_ordinal
True,True,152848,0,21,81,3185,7856,0,0,0,0,0,2026-03-04,ESH6,152848,0,True,utc_timestamp_ns_then_source_ordinal
True,True,158814,0,45,130,2480,3230,6,0,0,0,0,2026-03-05,ESH6,158814,1,True,utc_timestamp_ns_then_source_ordinal
True,True,199318,0,60,95,4635,12040,1,0,0,0,0,2026-03-06,ESH6,199318,0,True,utc_timestamp_ns_then_source_ordinal
True,True,194357,0,29,84,3209,19340,7,0,0,0,0,2026-03-09,ESH6,194357,1,True,utc_timestamp_ns_then_source_ordinal
True,True,160269,0,38,17,451,0,4,1,0,0,0,2026-03-10,ESH6,160269,3,True,utc_timestamp_ns_then_source_ordinal
True,True,152977,0,10,101,1779,15,4,0,0,0,0,2026-03-11,ESH6,152977,1,True,utc_timestamp_ns_then_source_ordinal
True,True,172437,0,29,72,8495,31666,6,0,0,0,0,2026-03-12,ESH6,172437,2,True,utc_timestamp_ns_then_source_ordinal
True,True,162476,0,17,56,2535,3387,7,0,0,0,0,2026-03-13,ESH6,162476,1,True,utc_timestamp_ns_then_source_ordinal
True,True,81700,0,19,73,1275,0,0,0,0,0,0,2026-03-16,ESH6,81700,0,True,utc_timestamp_ns_then_source_ordinal
False,True,100190,0,42,53,1532,0,7,0,0,0,0,2026-03-17,ESM6,100190,2,True,utc_timestamp_ns_then_source_ordinal
True,True,112153,0,15,50,1361,2222,2,0,0,0,0,2026-03-18,ESM6,112153,2,True,utc_timestamp_ns_then_source_ordinal
True,True,152108,0,19,49,2355,0,3,1,0,0,0,2026-03-19,ESM6,152108,1,True,utc_timestamp_ns_then_source_ordinal
True,True,143638,0,25,60,3174,1964,0,0,0,0,0,2026-03-20,ESM6,143638,0,True,utc_timestamp_ns_then_source_ordinal
True,True,167157,0,29,74,1547,8097,0,0,0,0,0,2026-03-23,ESM6,167157,0,True,utc_timestamp_ns_then_source_ordinal
True,True,179763,0,61,177,5907,15176,2,0,0,0,0,2026-03-24,ESM6,179763,1,True,utc_timestamp_ns_then_source_ordinal
True,True,139465,0,30,83,840,0,7,0,0,0,0,2026-03-25,ESM6,139465,0,True,utc_timestamp_ns_then_source_ordinal
True,True,143973,0,16,54,2749,0,1,0,0,0,0,2026-03-26,ESM6,143973,1,True,utc_timestamp_ns_then_source_ordinal
True,True,140696,0,21,72,2274,764,2,1,0,0,0,2026-03-27,ESM6,140696,1,True,utc_timestamp_ns_then_source_ordinal
True,True,137210,0,38,62,2860,0,0,0,0,0,0,2026-03-30,ESM6,137210,0,True,utc_timestamp_ns_then_source_ordinal
True,True,144482,0,8,81,5218,9150,2,0,0,0,0,2026-03-31,ESM6,144482,1,True,utc_timestamp_ns_then_source_ordinal
True,True,148095,0,36,58,1772,11388,28,0,0,0,0,2026-04-01,ESM6,148095,2,True,utc_timestamp_ns_then_source_ordinal
True,True,214160,0,45,70,3363,15072,7,0,0,0,0,2026-04-02,ESM6,214160,1,True,utc_timestamp_ns_then_source_ordinal
True,True,132935,0,27,116,148,4390,3,0,0,0,0,2026-04-06,ESM6,132935,1,True,utc_timestamp_ns_then_source_ordinal
True,True,141758,0,15,35,486,0,0,0,0,0,0,2026-04-07,ESM6,141758,0,True,utc_timestamp_ns_then_source_ordinal
True,True,175092,0,41,105,9300,11642,3,0,0,0,0,2026-04-08,ESM6,175092,1,True,utc_timestamp_ns_then_source_ordinal
True,True,102170,0,2,99,1817,0,13,0,0,0,0,2026-04-09,ESM6,102170,2,True,utc_timestamp_ns_then_source_ordinal
