variant,time_set,thr,imb,signals,full_per_year,limited_per_year,long,short
curve_5d_two_sided,full,0.65,0.01,1355,87.81294357700497,105.93549822064057,2033,1918
teny_1d_large10,full,0.65,0.01,1475,95.58973562810505,92.2873665480427,2602,2153
twoy_1d_large10,full,0.65,0.01,1420,92.02537260468418,82.53870106761565,2483,2136
teny_1d_two_sided,full,0.65,0.02,984,63.769694819020586,82.53870106761565,1194,1203
twoy_1d_two_sided,full,0.65,0.02,950,61.56627040454223,69.54048042704626,1061,1189
curve_1d_two_sided,full,0.65,0.02,957,62.019916607523065,80.58896797153024,1199,1126
teny_5d_two_sided,full,0.65,0.02,977,63.316048616039744,82.53870106761565,1172,1195
curve_5d_two_sided,full,0.65,0.02,978,63.38085521646558,90.33763345195729,1226,1165
teny_1d_large10,full,0.65,0.02,1351,87.55371717530163,82.53870106761565,2268,1843
twoy_1d_large10,full,0.65,0.02,1301,84.31338715400993,72.14012455516014,2145,1829
teny_1d_two_sided,full,0.65,0.04,416,26.959545777146914,51.99288256227758,365,364
twoy_1d_two_sided,full,0.65,0.04,389,25.209767565649397,42.24421708185053,318,342
curve_1d_two_sided,full,0.65,0.04,395,25.5986071682044,50.04314946619217,369,354
teny_5d_two_sided,full,0.65,0.04,401,25.987446770759405,53.94261565836299,379,372
curve_5d_two_sided,full,0.65,0.04,409,26.505899574166076,61.09163701067615,394,358
teny_1d_large10,full,0.65,0.04,1053,68.24135024840312,61.74154804270462,1635,1249
twoy_1d_large10,full,0.65,0.04,1009,65.38985982966643,50.69306049822064,1535,1213
teny_1d_two_sided,full,0.7,0.0,1433,92.86785841022001,85.788256227758,2531,2398
twoy_1d_two_sided,full,0.7,0.0,1487,96.36741483321505,76.68950177935943,2502,2605
curve_1d_two_sided,full,0.7,0.0,1392,90.21078779276083,87.08807829181494,2476,2250
teny_5d_two_sided,full,0.7,0.0,1486,96.30260823278921,96.83674377224199,2562,2433
curve_5d_two_sided,full,0.7,0.0,1438,93.19189141234918,103.33585409252669,2450,2388
teny_1d_large10,full,0.7,0.0,1379,89.36830198722498,86.43816725978647,2538,2126
twoy_1d_large10,full,0.7,0.0,1397,90.53482079489,74.73976868327402,2498,2257
teny_1d_two_sided,full,0.7,0.01,1150,74.52759048970901,77.98932384341637,1718,1685
twoy_1d_two_sided,full,0.7,0.01,1180,76.47178850248403,68.89056939501779,1657,1824
curve_1d_two_sided,full,0.7,0.01,1123,72.7778122782115,78.63923487544484,1636,1595
teny_5d_two_sided,full,0.7,0.01,1181,76.53659510290987,84.48843416370106,1716,1700
curve_5d_two_sided,full,0.7,0.01,1161,75.24046309439319,92.93727758007117,1664,1704
teny_1d_large10,full,0.7,0.01,1260,81.65631653655075,78.63923487544484,2242,1840
twoy_1d_large10,full,0.7,0.01,1280,82.95244854506743,70.8403024911032,2223,1965
teny_1d_two_sided,full,0.7,0.02,834,54.04870475514549,70.19039145907473,1014,1006
twoy_1d_two_sided,full,0.7,0.02,864,55.99290276792051,61.09163701067615,956,1103
curve_1d_two_sided,full,0.7,0.02,800,51.84528034066714,70.8403024911032,1010,937
teny_5d_two_sided,full,0.7,0.02,851,55.15041696238467,72.79003558718861,1040,1027
curve_5d_two_sided,full,0.7,0.02,840,54.437544357700496,81.23887900355871,1024,1039
teny_1d_large10,full,0.7,0.02,1149,74.46278388928317,69.54048042704626,1952,1576
twoy_1d_large10,full,0.7,0.02,1176,76.2125621007807,62.39145907473309,1928,1678
teny_1d_two_sided,full,0.7,0.04,343,22.228663946061037,42.24421708185053,298,303
twoy_1d_two_sided,full,0.7,0.04,356,23.071149751596877,37.044928825622776,290,319
curve_1d_two_sided,full,0.7,0.04,323,20.932531937544358,42.24421708185053,293,285
teny_5d_two_sided,full,0.7,0.04,346,22.423083747338538,48.74332740213523,341,311
curve_5d_two_sided,full,0.7,0.04,355,23.006343151171045,54.59252669039146,346,315
teny_1d_large10,full,0.7,0.04,897,58.13152058197303,52.64279359430605,1396,1067
twoy_1d_large10,full,0.7,0.04,913,59.16842618878638,44.19395017793594,1379,1104
