run_id,ending_balance,net_pnl,trader_net_pnl,account_ending_balance,final_account_phase,max_drawdown,worst_day,best_day,best_day_concentration,max_consecutive_losses,account_breached,breach_reason,payout_eligible,profit_before_drawdown,drawdown_before_profit,accounts_purchased,accounts_breached,accounts_terminated,challenge_passes,funded_accounts_started,payout_count,gross_payouts,net_payouts,total_challenge_fees
87,54712.59375,4712.59375,4712.59375,51525.0,challenge,5090.0,-842.5,770.0,0.01826917373509698,8,True,trailing_drawdown,True,True,False,7,6,0,2,2,5,5998.4375,5398.59375,686.0
88,55622.4375,5622.4375,5622.4375,50187.5,funded,5920.0,-830.0,770.0,0.017412935323383085,8,True,trailing_drawdown,True,True,True,7,6,0,3,3,5,7009.375,6308.4375,686.0
89,54266.53125,4266.53125,4266.53125,51080.0,challenge,3184.0625,-842.5,770.0,0.01806027911340448,6,True,trailing_drawdown,True,True,True,7,6,0,3,3,5,5502.8125,4952.53125,686.0
90,52847.875,2847.875,2847.875,,,2691.25,-842.5,770.0,0.0184885047121676,3,True,trailing_drawdown,True,True,False,5,5,0,3,3,4,3708.75,3337.875,490.0
91,56046.96875,6046.96875,6046.96875,49842.5,challenge,4140.0,-842.5,770.0,0.01803595479299643,7,True,trailing_drawdown,True,True,True,6,5,0,2,2,7,7372.1875,6634.96875,588.0
92,55150.625,5150.625,5150.625,51383.75,funded,3861.25,-842.5,770.0,0.016824165619708308,5,True,trailing_drawdown,True,True,True,6,5,0,4,4,5,6376.25,5738.625,588.0
93,56169.734375,6169.734375,6169.734375,50922.5,funded,3315.9375,-842.5,770.0,0.01736091539372076,6,True,trailing_drawdown,True,True,False,6,4,1,3,3,7,7508.59375,6757.734375,588.0
94,53029.4375,3029.4375,3029.4375,52907.5,challenge,3875.625,-842.5,770.0,0.01738345185686872,5,True,trailing_drawdown,True,True,True,6,5,0,2,2,3,4019.375,3617.4375,588.0
95,53417.6875,3417.6875,3417.6875,49810.0,challenge,3823.125,-842.5,770.0,0.017721518987341773,5,True,trailing_drawdown,True,True,True,5,4,0,3,3,3,4341.875,3907.6875,490.0
96,57272.40625,7272.40625,7272.40625,49885.0,funded,2727.5,-842.5,770.0,0.01699404105054072,10,True,trailing_drawdown,True,True,True,8,6,1,4,4,5,8951.5625,8056.40625,784.0
97,51248.3125,1248.3125,1248.3125,52105.0,challenge,2782.5,-842.5,770.0,0.017351135147315642,5,True,trailing_drawdown,True,True,False,8,7,0,4,4,3,2258.125,2032.3125,784.0
98,50732.5,732.5,732.5,52867.5,challenge,2680.0,-842.5,770.0,0.016942626107046593,5,True,trailing_drawdown,True,True,True,8,7,0,4,4,3,1685.0,1516.5,784.0
99,57331.15625,7331.15625,7331.15625,49770.0,challenge,5868.4375,-842.5,770.0,0.017652453003209535,5,True,trailing_drawdown,True,True,False,6,5,0,2,2,6,8799.0625,7919.15625,588.0
100,56090.140625,6090.140625,6090.140625,51301.25,funded,4168.28125,-842.5,770.0,0.017662575983484346,5,True,trailing_drawdown,True,True,True,6,5,0,2,2,5,7420.15625,6678.140625,588.0
101,53969.625,3969.625,3969.625,51535.0,challenge,2710.0,-842.5,770.0,0.017326732673267328,4,True,trailing_drawdown,True,True,False,4,3,0,2,2,6,4846.25,4361.625,392.0
102,54983.3359375,4983.3359375,4983.3359375,51390.0,challenge,3174.0625,-842.5,770.0,0.01700623930208161,5,True,trailing_drawdown,True,True,False,5,3,1,2,2,6,6081.484375,5473.3359375,490.0
103,53494.3984375,3494.3984375,3494.3984375,51842.5,challenge,2932.5,-842.5,770.0,0.01788410173034491,4,True,trailing_drawdown,True,True,True,5,3,1,2,2,5,4427.109375,3984.3984375,490.0
104,56086.5546875,6086.5546875,6086.5546875,49697.5,challenge,3014.375,-842.5,770.0,0.016817735066069674,4,True,trailing_drawdown,True,True,False,6,4,1,3,3,8,7416.171875,6674.5546875,588.0
105,51409.0,1409.0,1409.0,52660.0,challenge,2896.25,-842.5,770.0,0.017777777777777778,5,True,trailing_drawdown,True,True,True,5,4,0,2,2,4,2110.0,1899.0,490.0
